n,p,b,time
2160,1,1,680.3462
2520,1,1,1066.188
2880,1,1,1599.87
2160,4,1,346.037
2520,4,1,526.6228
2880,4,1,786.8751
2160,9,1,364.4853
2520,9,1,582.1784
2880,9,1,866.007
2160,16,1,336.6118
2520,16,1,538.2986
2880,16,1,800.0079
2160,25,1,393.8984
2520,25,1,628.705
2880,25,1,975.4092
360,1,1,1.953307
720,1,1,22.72249
1080,1,1,88.72902
1440,1,1,204.7312
1800,1,1,396.1852
360,4,1,0.578428
720,4,1,4.459534
1080,4,1,36.31161
1440,4,1,93.81922
1800,4,1,189.0166
360,9,1,0.5433843
720,9,1,4.522843
1080,9,1,38.55888
1440,9,1,102.3124
1800,9,1,204.8682
360,16,1,0.461458
720,16,1,4.751101
1080,16,1,39.74285
1440,16,1,97.18415
1800,16,1,206.4267
360,25,1,0.5301619
720,25,1,4.126762
1080,25,1,35.71712
1440,25,1,104.6948
1800,25,1,218.7011
